Timestamp,BO-PS-QF_getGain,BO-PS-CR4_getCurrent,BO-PS-INK_getVoltage,TL1-PS-CR4-Y_CurrentRBV,BO-PS-QF_getWaveformOffset,BO-PS-QD_getGain,TL1-PS-CR2-X_CurrentRBV,BO-PS-QD_getWaveformOffset,BO-PS-CR2_getCurrent,TL1-PS-CR3-Y_CurrentRBV,MIR1-MO-MC1_C_RBV,BO-PS-CR1_getCurrent,TL1-PS-CR2-Y_CurrentRBV,BO-PS-BM_getWaveformOffset,TL1-PS-CR3-X_CurrentRBV,BO-DI-DCCT1_getDcctCurrent,MI-PS-TC2_CurrentRBV,MI-PS-TC4_CurrentRBV,AGPS_getI_GUN_TRIG_REFERENCE,TL1-PS-CR4-X_OutputCurrent,BO-PS-CR6_getCurrent,BO-PS-INS_getVoltage,MI-PS-TC3_CurrentRBV,MI-PS-TC1_CurrentRBV,BO-PS-BM_getGain,BO-PS-CR5_getCurrent
2024-11-13 16:02:36+00:00,0.930908203125,1.74398e-05,330.048,-0.0297,-0.12,0.889892578125,0.6129,-0.21,-5.39659e-06,0.1229,197.46386892800365,1.26705e-06,0.407,0.17,0.28,-0.0732965606,0.2441,0.0179,0.75,-1.40001261234,-0.0999869,613.444,-0.1658,0.832,0.950927734375,-0.199999
2024-11-13 16:02:37+00:00,0.930908203125,1.74398e-05,330.048,-0.0297,-0.12,0.889892578125,0.6129,-0.21,-5.39659e-06,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,-0.0738474712,0.2441,0.0179,0.75,-1.40001904964,-0.100006,613.444,-0.1658,0.832,0.950927734375,-0.199999
2024-11-13 16:02:38+00:00,0.930908203125,1.74398e-05,330.048,-0.0297,-0.12,0.889892578125,0.6129,-0.21,1.4126e-05,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,-0.0751335178,0.2441,0.0179,0.75,-1.40000355244,-0.100006,613.444,-0.1658,0.832,0.950927734375,-0.19998
2024-11-13 16:02:39+00:00,0.930908203125,1.74398e-05,330.048,-0.0297,-0.12,0.889892578125,0.6129,-0.21,1.4126e-05,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,-0.0732739568,0.2441,0.0179,0.75,-1.39998733997,-0.0999869,613.444,-0.1658,0.832,0.950927734375,-0.19998
2024-11-13 16:02:40+00:00,0.930908203125,1.74398e-05,330.05,-0.0297,-0.12,0.889892578125,0.6129,-0.21,1.4126e-05,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,-0.0732687654,0.2441,0.0179,0.75,-1.39999127388,-0.100006,613.443,-0.1658,0.832,0.950927734375,-0.19998
2024-11-13 16:02:41+00:00,0.930908203125,1.74398e-05,330.05,-0.0297,-0.12,0.889892578125,0.6129,-0.21,1.4126e-05,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,-0.0738972416,0.2441,0.0179,0.75,-1.40001249313,-0.100006,613.443,-0.1658,0.832,0.950927734375,-0.19998
2024-11-13 16:02:42+00:00,0.930908203125,1.74398e-05,330.05,-0.0297,-0.12,0.889892578125,0.6129,-0.21,1.4126e-05,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,-0.0713977382,0.2441,0.0179,0.75,-1.40000367165,-0.100006,613.443,-0.1658,0.832,0.950927734375,-0.19998
2024-11-13 16:02:43+00:00,0.930908203125,1.74398e-05,330.05,-0.0297,-0.12,0.889892578125,0.6129,-0.21,1.4126e-05,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,-0.0725599318,0.2441,0.0179,0.75,-1.39998018742,-0.0999869,613.443,-0.1658,0.832,0.950927734375,-0.200019
2024-11-13 16:02:44+00:00,0.930908203125,1.74398e-05,330.05,-0.0297,-0.12,0.889892578125,0.6129,-0.21,1.4126e-05,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,-0.0724029236,0.2441,0.0179,0.75,-1.39997947216,-0.100006,613.443,-0.1658,0.832,0.950927734375,-0.200019
2024-11-13 16:02:45+00:00,0.930908203125,1.74398e-05,330.05,-0.0297,-0.12,0.889892578125,0.6129,-0.21,1.4126e-05,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,-0.0716570674,0.2441,0.0179,0.75,-1.39999210835,-0.100006,613.443,-0.1658,0.832,0.950927734375,-0.200019
2024-11-13 16:02:46+00:00,0.930908203125,1.74398e-05,330.05,-0.0297,-0.12,0.889892578125,0.6129,-0.21,1.4126e-05,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,-0.0729663516,0.2441,0.0179,0.75,-1.39998924732,-0.0999869,613.443,-0.1658,0.832,0.950927734375,-0.199999
2024-11-13 16:02:47+00:00,0.930908203125,1.74398e-05,330.048,-0.0297,-0.12,0.889892578125,0.6129,-0.21,1.4126e-05,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,-0.072287212,0.2441,0.0179,0.75,-1.39998865128,-0.0999869,613.442,-0.1658,0.832,0.950927734375,-0.200019
2024-11-13 16:02:48+00:00,0.930908203125,1.74398e-05,330.048,-0.0297,-0.12,0.889892578125,0.6129,-0.21,1.4126e-05,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,-0.0726752046,0.2441,0.0179,0.75,-1.40000414848,-0.0999869,613.442,-0.1658,0.832,0.950927734375,-0.200019
2024-11-13 16:02:49+00:00,0.930908203125,-2.07593e-06,330.048,-0.0297,-0.12,0.889892578125,0.6129,-0.21,1.4126e-05,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,-0.0734658512,0.2441,0.0179,0.75,-1.40001690388,-0.100006,613.442,-0.1658,0.832,0.950927734375,-0.200019
2024-11-13 16:02:50+00:00,0.930908203125,1.74398e-05,330.048,-0.0297,-0.12,0.889892578125,0.6129,-0.21,1.4126e-05,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,-0.0732602184,0.2441,0.0179,0.75,-1.40001118183,-0.100006,613.442,-0.1658,0.832,0.950927734375,-0.200019
