Timestamp,BO-PS-QF_getGain,BO-PS-CR4_getCurrent,BO-PS-INK_getVoltage,TL1-PS-CR4-Y_CurrentRBV,BO-PS-QF_getWaveformOffset,BO-PS-QD_getGain,TL1-PS-CR2-X_CurrentRBV,BO-PS-QD_getWaveformOffset,BO-PS-CR2_getCurrent,TL1-PS-CR3-Y_CurrentRBV,MIR1-MO-MC1_C_RBV,BO-PS-CR1_getCurrent,TL1-PS-CR2-Y_CurrentRBV,BO-PS-BM_getWaveformOffset,TL1-PS-CR3-X_CurrentRBV,BO-DI-DCCT1_getDcctCurrent,MI-PS-TC2_CurrentRBV,MI-PS-TC4_CurrentRBV,AGPS_getI_GUN_TRIG_REFERENCE,TL1-PS-CR4-X_OutputCurrent,BO-PS-CR6_getCurrent,BO-PS-INS_getVoltage,MI-PS-TC3_CurrentRBV,MI-PS-TC1_CurrentRBV,BO-PS-BM_getGain,BO-PS-CR5_getCurrent
2024-11-13 22:56:27+00:00,0.930908203125,1.74398e-05,330.049,-0.0297,-0.12,0.889892578125,0.6129,-0.21,1.4126e-05,0.1229,197.46386892800365,1.26705e-06,0.407,0.17,0.28,9.33237152,0.2441,0.0179,0.75,-1.39999806881,-0.0999869,613.442,-0.1658,0.832,0.950927734375,-0.200019
2024-11-13 22:56:28+00:00,0.930908203125,1.74398e-05,330.049,-0.0297,-0.12,0.889892578125,0.6129,-0.21,-5.39659e-06,0.1229,197.46386892800365,1.26705e-06,0.407,0.17,0.28,8.42886182,0.2441,0.0179,0.75,-1.40004742146,-0.0999869,613.442,-0.1658,0.832,0.950927734375,-0.200019
2024-11-13 22:56:29+00:00,0.930908203125,1.74398e-05,330.049,-0.0297,-0.12,0.889892578125,0.6129,-0.21,1.4126e-05,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,7.60017018,0.2441,0.0179,0.75,-1.40004611015,-0.0999869,613.442,-0.1658,0.832,0.950927734375,-0.200019
2024-11-13 22:56:30+00:00,0.930908203125,1.74398e-05,330.049,-0.0297,-0.12,0.889892578125,0.6129,-0.21,-5.39659e-06,0.1229,197.46386892800365,1.26705e-06,0.407,0.17,0.28,8.925132,0.2441,0.0179,0.75,-1.40003728867,-0.0999869,613.442,-0.1658,0.832,0.950927734375,-0.200019
2024-11-13 22:56:31+00:00,0.930908203125,1.74398e-05,330.05,-0.0297,-0.12,0.889892578125,0.613,-0.21,1.4126e-05,0.1229,197.46386892800365,1.26705e-06,0.407,0.17,0.28,8.74341322,0.2441,0.0179,0.75,-1.40002739429,-0.100006,613.444,-0.1658,0.832,0.950927734375,-0.200019
2024-11-13 22:56:32+00:00,0.930908203125,1.74398e-05,330.05,-0.0297,-0.12,0.889892578125,0.6129,-0.21,1.4126e-05,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,8.32761116,0.2441,0.0179,0.75,-1.40003919601,-0.0999869,613.444,-0.1658,0.832,0.950927734375,-0.200019
2024-11-13 22:56:33+00:00,0.930908203125,1.74398e-05,330.05,-0.0297,-0.12,0.889892578125,0.6129,-0.21,1.4126e-05,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,8.78385212,0.2441,0.0179,0.75,-1.40002381802,-0.100006,613.444,-0.1658,0.832,0.950927734375,-0.200019
2024-11-13 22:56:34+00:00,0.930908203125,1.74398e-05,330.05,-0.0297,-0.12,0.889892578125,0.6129,-0.21,1.4126e-05,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,8.3824915,0.2441,0.0179,0.75,-1.40003407001,-0.0999869,613.444,-0.1658,0.832,0.950927734375,-0.199999
2024-11-13 22:56:35+00:00,0.930908203125,1.74398e-05,330.05,-0.0297,-0.12,0.889892578125,0.6129,-0.21,-5.39659e-06,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,7.68404622,0.2441,0.0179,0.75,-1.40001630783,-0.0999869,613.444,-0.1658,0.832,0.950927734375,-0.200019
2024-11-13 22:56:36+00:00,0.930908203125,1.74398e-05,330.049,-0.0297,-0.12,0.889892578125,0.6129,-0.21,-5.39659e-06,0.1229,197.46386892800365,-1.8274e-05,0.407,0.17,0.28,7.6950104,0.2441,0.0179,0.75,-1.4000313282,-0.0999869,613.443,-0.1658,0.832,0.950927734375,-0.200019
